a	A|吖|呵|啊|嗄|腌|锕|阿	A|吖|呵|啊|嗄|腌|錒|阿
aertaishanmai	阿尔泰山脉	阿爾泰山脈
aertaixueji	阿尔泰雪鸡	阿爾泰雪雞
aertaiyu	阿尔泰语	阿爾泰語
aertaiziwan	阿尔泰紫菀	阿爾泰紫菀
aertemisi	阿耳忒弥斯	阿耳忒彌斯
aerwasaite	阿尔瓦塞特	阿爾瓦塞特
afaer	阿法尔	阿法爾
afaershamo	阿法尔沙漠	阿法爾沙漠
afaluomiou	阿法罗密欧	阿法羅密歐
afanda	阿凡达|阿梵达	阿凡達|阿梵達
afanti	阿凡提	阿凡提
afei	阿飞	阿飛
afeilijia	阿非利加	阿非利加
afeilijiazhou	阿非利加洲	阿非利加洲
afuhan	阿富汗	阿富汗
afuhanyu	阿富汗语	阿富汗語
afujiadeluo	阿伏伽德罗	阿伏伽德羅
afujiadeluochangshu	阿伏伽德罗常数	阿伏伽德羅常數
afuleerhao	阿芙乐尔号	阿芙樂爾號
afuluodite	阿佛洛狄忒|阿弗洛狄忒|阿芙罗狄忒	阿佛洛狄忒|阿弗洛狄忒|阿芙羅狄忒
afurong	阿芙蓉	阿芙蓉
agaida	阿盖达	阿蓋達
aganzhengzhuan	阿甘正传	阿甘正傳
age	阿哥	阿哥
agenidi	阿格尼迪	阿格尼迪
agenting	阿根廷	阿根廷
agong	阿公	阿公
agu	阿家	阿家
ahedisali	阿赫蒂萨里	阿赫蒂薩里
aheiyan	阿嘿颜|阿黑颜	阿嘿顏|阿黑顏
aheng	阿亨	阿亨
aheqi	阿合奇	阿合奇
aheqixian	阿合奇县	阿合奇縣
ahong	阿訇	阿訇
ahuatian	阿华田	阿華田
ahun	阿混	阿混
ahuo	A货	A貨
ai	㝵|㤅|僾|叆|哀|哎|唉|啀|嗌|嗳|埃|壒|娭|嫒|挨|捱|敳|暧|欸|毐|爱|瑷|癌|皑|瞹|矮|砹|硙|碍|艾|蔼|薆|銰|鑀|锿|隘|霭|餲|騃	㝵|㤅|僾|哀|哎|唉|嗌|嘊|噯|埃|壒|娭|嬡|愛|挨|捱|敱|曖|欸|毐|璦|癌|皚|瞹|矮|砹|磑|礙|艾|薆|藹|銰|鎄|鑀|隘|靄|靉|餲|騃
aiai	叆叆|唉唉|爱爱|皑皑|硙硙|蔼蔼|霭霭	唉唉|愛愛|皚皚|磑磑|藹藹|靄靄|靉靉
aiaohua	爱奥华	愛奧華
aiaoluosi	埃奥罗斯	埃奧羅斯
aiaoniyahai	爱奥尼亚海	愛奧尼亞海
aiaowa	艾奥瓦	艾奧瓦
aibanjie	矮半截	矮半截
aibanzi	挨板子	挨板子
aibian	挨边|癌变	挨邊|癌變
aibianr	挨边儿	挨邊兒
aibieliku	爱别离苦	愛別離苦
aibihu	艾比湖	艾比湖
aibingbisheng	哀兵必胜	哀兵必勝
aibiying	爱彼迎	愛彼迎
aibola	埃博拉	埃博拉
aibolabingdu	埃博拉病毒	埃博拉病毒
aibota	艾伯塔	艾伯塔
aibuluo	埃布罗	埃布羅
aibuluohe	埃布罗河	埃布羅河
aiburenshi	爱不忍释	愛不忍釋
aibushang	挨不上	挨不上
aibushishou	爱不释手	愛不釋手
aica	挨擦	挨擦
aicai	爱才|爱财	愛才|愛財
aicairuming	爱财如命	愛財如命
aicairuoke	爱才若渴	愛才若渴
aicao	艾草	艾草
aichao	爱巢	愛巢
aicheng	爱称	愛稱
aichou	哀愁	哀愁
aichouqiong	矮丑穷	矮醜窮
aici	哀词|哀辞|挨次	哀詞|哀辭|挨次
aiciba	爱词霸	愛詞霸
aicir	挨呲儿	挨呲兒
aicuo	矮矬	矮矬
aida	挨打	挨打
aidahe	爱达荷	愛達荷
aidai	叆叇|爱戴	愛戴|靉靆
aidaibing	矮呆病	矮呆病
aidao	哀悼	哀悼
aidashouma	挨打受骂	挨打受罵
aidashouqi	挨打受气	挨打受氣
aide	埃德|爱德	埃德|愛德
aidehua	爱德华	愛德華
aidehuadaladi	爱德华·达拉第	愛德華·達拉第
aidehuadao	爱德华岛	愛德華島
aidehuawangzidao	爱德华王子岛	愛德華王子島
aidehuazi	爱德华兹	愛德華茲
aidejia	埃德加	埃德加
aidejiaailunpo	埃德加·爱伦·坡	埃德加·愛倫·坡
aidejiasinuo	埃德加·斯诺	埃德加·斯諾
aideling	爱德玲	愛德玲
aidemeng	埃德蒙|爱德蒙	埃德蒙|愛德蒙
aidemengboke	埃德蒙·伯克	埃德蒙·伯克
aidemengdun	埃德蒙顿|艾德蒙顿	埃德蒙頓|艾德蒙頓
aidemilibande	埃德·米利班德	埃德·米利班德
aideng	矮凳	矮凳
aidengbao	艾登堡	艾登堡
aidesiquhuolai	爱得死去活来	愛得死去活來
aidesiwoer	爱德斯沃尔	愛德斯沃爾
aidi	艾迪|霭滴	艾迪|靄滴
aidicha	矮地茶	矮地茶
aidikala	埃迪卡拉|艾迪卡拉	埃迪卡拉|艾迪卡拉
aidikalaji	埃迪卡拉纪	埃迪卡拉紀
aidimeidunshu	哀的美敦书	哀的美敦書
aidingbao	爱丁堡	愛丁堡
aidinghu	艾丁湖	艾丁湖
aidisheng	爱迪生|艾迪生	愛迪生|艾迪生
aidonghua	艾冬花	艾冬花
aidongshoue	挨冻受饿	挨凍受餓
aidou	挨斗|爱豆	愛豆|挨鬥
aidundun	矮墩墩	矮墩墩
aie	挨饿	挨餓
aierbota	艾尔伯塔	艾爾伯塔
aierbushang	哀而不伤	哀而不傷
aierduoan	埃尔多安	埃爾多安
aierfute	埃尔福特	埃爾福特
aierjin	埃尔金	埃爾金
aierjindalishi	埃尔金大理石	埃爾金大理石
aierlan	爱尔兰	愛爾蘭
aierlanggen	埃尔朗根	埃爾朗根
aierlanggengangling	埃尔朗根纲领	埃爾朗根綱領
aierlangongheguo	爱尔兰共和国	愛爾蘭共和國
aierlangonghejun	爱尔兰共和军	愛爾蘭共和軍
aierlanhai	爱尔兰海	愛爾蘭海
aierlanren	爱尔兰人	愛爾蘭人
aierlanyu	爱尔兰语	愛爾蘭語
aiermitaji	艾尔米塔奇	艾爾米塔奇
aiermitashi	艾尔米塔什	艾爾米塔什
aiernandesi	埃尔南德斯	埃爾南德斯
aierninuo	埃尔尼诺	埃爾尼諾
aierpasuo	埃尔帕索	埃爾帕索
aierri	爱耳日	愛耳日
aierweisipuleisili	埃尔维斯·普雷斯利	埃爾維斯·普雷斯利
aieshoudong	挨饿受冻	挨餓受凍
aifa	挨罚	挨罰
aifeiertieta	埃菲尔铁塔|艾菲尔铁塔	埃菲爾鐵塔|艾菲爾鐵塔
aifeng	爱疯	愛瘋
aifu	嗳腐|爱抚	噯腐|愛撫
aifuboli	埃夫伯里	埃夫伯里
aifudun	埃弗顿	埃弗頓
aifutunsuan	嗳腐吞酸	噯腐吞酸
aigang	爱港	愛港
aigangjingye	爱岗敬业	愛崗敬業
aiganpinzhong	矮杆品种	矮桿品種
aigao	哀告	哀告
aigaobinfu	哀告宾服	哀告賓服
aige	哀歌|挨个	哀歌|挨個
aigeersong	埃格尔松	埃格爾松
aigenisishimotelai	艾格尼丝·史沫特莱	艾格尼絲·史沫特萊
aiger	挨个儿|矮个儿	挨個兒|矮個兒
aigu	隘谷	隘谷
aigua	矮瓜	矮瓜
aiguo	爱国	愛國
aiguorujia	爱国如家	愛國如家
aiguoweishengyundongweiyuanhui	爱国卫生运动委员会	愛國衛生運動委員會
aiguozhe	爱国者	愛國者
aiguozhuyi	爱国主义	愛國主義
aihamaidabade	艾哈迈达巴德	艾哈邁達巴德
aihamaide	艾哈迈德	艾哈邁德
aihamaidineijiade	艾哈迈迪内贾德	艾哈邁迪內賈德
aihao	哀号|哀嚎|爱好|艾蒿	哀嚎|哀號|愛好|艾蒿
aihaozhe	爱好者	愛好者
aihe	爱河	愛河
aihehua	爱荷华	愛荷華
aiheiren	矮黑人	矮黑人
aihenjiaojia	爱恨交加	愛恨交加
aihenjiaozhi	爱恨交织	愛恨交織
aihongbianye	哀鸿遍野	哀鴻遍野
aihu	挨户|爱护|艾虎	愛護|挨戶|艾虎
aihua	矮化	矮化
aihui	爱辉	愛輝
aihuiguli	哀毁骨立	哀毀骨立
aihuijili	哀毁瘠立	哀毀瘠立
aihuiqu	爱辉区	愛輝區
aihuntiaoyue	瑷珲条约	璦琿條約
aiji	埃及|挨挤	埃及|挨擠
aijia	哀家|挨家	哀家|挨家
aijiaaihu	挨家挨户	挨家挨戶
aijiadiqundao	埃加迪群岛	埃加迪群島
aijiancabei	挨肩擦背	挨肩擦背
aijiang	爱将	愛將
aijiangnanfu	哀江南赋	哀江南賦
aijianr	挨肩儿	挨肩兒
aijiaobaihuashelicao	矮脚白花蛇利草	矮腳白花蛇利草
aijiaokuhao	矮脚苦蒿	矮腳苦蒿
aijiaoluosan	矮脚罗伞	矮腳羅傘
aijidie	挨饥抵饿	挨飢抵餓
aijidou	埃及豆	埃及豆
aijie	唉姐|娭姐	唉姐|娭姐
aijiguwuxue	埃及古物学	埃及古物學
aijin	哀矜|挨近	哀矜|挨近
aijing	爱经	愛經
aijingzhushagen	矮茎朱砂根	矮莖朱砂根
aijiu	艾灸|艾酒	艾灸|艾酒
aijixue	埃及学	埃及學
aijiyeying	埃及夜鹰	埃及夜鷹
aiju	埃居	埃居
aijuan	艾卷	艾卷
aikei	挨剋	挨剋
aikesiguang	爱克斯光	愛克斯光
aikesishexian	爱克斯射线	愛克斯射線
aiketuo	埃克托	埃克托
aiketuoboliaozi	埃克托·柏辽兹	埃克托·柏遼茲
aikou	碍口|隘口	礙口|隘口
aikoushixiu	碍口识羞	礙口識羞
aiku	哀哭	哀哭
aikugui	爱哭鬼	愛哭鬼
ailao	艾老	艾老
ailate	埃拉特	埃拉特
ailatuositeni	埃拉托斯特尼	埃拉托斯特尼
ailei	埃蕾	埃蕾
ailian	哀怜|爱怜|爱恋	哀憐|愛憐|愛戀
ailibuli	爱理不理	愛理不理
ailin	矮林	矮林
ailinna	埃琳娜	埃琳娜
ailishegong	爱丽舍宫	愛麗舍宮
ailisi	爱丽丝|爱莉丝	愛莉絲|愛麗絲
ailisidao	埃利斯岛	埃利斯島
ailisimanyouqijingji	爱丽丝漫游奇境记	愛麗絲漫遊奇境記
ailisiquan	爱丽丝泉|爱丽斯泉	愛麗斯泉|愛麗絲泉
ailiugenna	爱留根纳	愛留根納
ailiwen	埃里温	埃里溫
ailixin	爱立信	愛立信
ailongmasike	埃隆·马斯克	埃隆·馬斯克
ailu	矮鹿|隘路	矮鹿|隘路
ailuoxianke	爱罗先珂	愛羅先珂
ailv	爱侣	愛侶
ailvete	艾略特	艾略特
aima	挨骂|爱玛	愛瑪|挨罵
aimaniuaier	艾玛纽埃尔	艾瑪紐埃爾
aimanta	埃曼塔|艾曼塔	埃曼塔|艾曼塔
aimashi	爱马仕	愛馬仕
aimawotesen	爱玛·沃特森	愛瑪·沃特森
aimei	暧昧|爱美	愛美|曖昧
aimeiguanxi	暧昧关系	曖昧關係
aimeijiang	艾美奖	艾美獎
aimeizhixinrenjieyouzhi	爱美之心，人皆有之	愛美之心，人皆有之
aimen	挨门	挨門
aimenaihu	挨门挨户	挨門挨戶
aimi	埃米	埃米
aimianzi	爱面子|碍面子	愛面子|礙面子
aimier	埃米尔|艾弥尔	埃米爾|艾彌爾
aimin	哀悯|爱民	哀憫|愛民
aiming	哀鸣	哀鳴
aiminqu	爱民区	愛民區
aiminruzi	爱民如子	愛民如子
aimodayuxinsi	哀莫大于心死	哀莫大於心死
aimoliweier	爱莫利维尔	愛莫利維爾
aimonengzhu	爱莫能助	愛莫能助
aimosheng	爱默生	愛默生
aimu	爱慕	愛慕
aimuxurong	爱慕虚荣	愛慕虛榮
ainai	欸乃	欸乃
ainan	碍难	礙難
ainancongming	碍难从命	礙難從命
ainaxiang	艾纳香	艾納香
aini	爱昵	愛昵
ainieasi	埃涅阿斯	埃涅阿斯
ainieasiji	埃涅阿斯纪	埃涅阿斯紀
ainu	爱奴	愛奴
aipang	矮胖	矮胖
aipi	挨批	挨批
aipian	艾片	艾片
aipiaoliang	爱漂亮	愛漂亮
aiping	哀平	哀平
aipusheng	爱普生	愛普生
aipuxilong	艾普西隆	艾普西隆
aiqi	哀启|哀戚|哀泣|嗳气	哀啟|哀戚|哀泣|噯氣
aiqianqi	癌前期	癌前期
aiqifuchou	嗳气腐臭	噯氣腐臭
aiqing	爱情|艾青	愛情|艾青
aiqingpian	爱情片	愛情片
aiqingxiju	爱情喜剧	愛情喜劇
aiqinhai	爱琴海	愛琴海
aiqiouni	嗳气呕逆	噯氣嘔逆
aiqisuanfu	嗳气酸腐	噯氣酸腐
aiqitunsuan	嗳气吞酸	噯氣吞酸
aiqiu	哀求	哀求
aiqixun	艾奇逊	艾奇遜
aiqiyi	爱奇艺	愛奇藝
aiquan	哀劝|爱犬	哀勸|愛犬
airan	蔼然	藹然
airen	爱人|矮人	愛人|矮人
airenruji	爱人如己	愛人如己
airong	哀荣|艾绒	哀榮|艾絨
airuibadi	艾瑞巴蒂	艾瑞巴蒂
aisai	埃塞	埃塞
aisaiebiya	埃塞俄比亚	埃塞俄比亞
aisaiebiyajie	埃塞俄比亚界	埃塞俄比亞界
aisaikesi	艾赛克斯	艾賽克斯
aisake	艾萨克	艾薩克
aisakeniudun	艾萨克·牛顿	艾薩克·牛頓
aisen	埃森	埃森
aisenhaoweier	艾森豪威尔	艾森豪威爾
aisennahe	埃森纳赫	埃森納赫
aisenzhe	埃森哲	埃森哲
aishang	哀伤|爱上	哀傷|愛上
aishaniya	爱沙尼亚	愛沙尼亞
aisheishei	爱谁谁	愛誰誰
aishen	爱神	愛神
aishengtanqi	唉声叹气	唉聲嘆氣
aishi	哀失|碍事|艾实	哀失|礙事|艾實
aishijian	挨时间	挨時間
aishouaijiao	碍手碍脚	礙手礙腳
aishu	矮树	矮樹
aishuo	挨说	挨說
aisi	哀思	哀思
aisibing	爱死病	愛死病
aisijimo	爱斯基摩	愛斯基摩
aisikuduo	埃斯库多	埃斯庫多
aisikuluosi	埃斯库罗斯	埃斯庫羅斯
aisitehaqi	埃斯特哈齐	埃斯特哈齊
aisitelang	埃斯特朗	埃斯特朗
aisuan	嗳酸	噯酸
aita	埃塔|艾塔	埃塔|艾塔
aitan	哀叹|艾炭	哀嘆|艾炭
aite	艾特	艾特
aitenahuoshan	埃特纳火山	埃特納火山
aiti	挨踢	挨踢
aitiao	艾条	艾條
aitiaojiu	艾条灸	艾條灸
aitiaoquezhuojiu	艾条雀啄灸	艾條雀啄灸
aitiaowenhejiu	艾条温和灸	艾條溫和灸
aitong	哀恸|哀痛	哀慟|哀痛
aitouzi	挨头子	挨頭子
aiwan	哀婉	哀婉
aiwanting	爱晚亭	愛晚亭
aiweihui	爱卫会	愛衛會
aiweikou	碍胃口	礙胃口
aiweiwei	艾未未	艾未未
aiweiyang	爱维养	愛維養
aiwen	埃文|爱问	埃文|愛問
aiwenhepansitelatefu	埃文河畔斯特拉特福	埃文河畔斯特拉特福
aiwensi	埃文斯	埃文斯
aiwowo	爱窝窝|艾窝窝	愛窩窩|艾窩窩
aiwujiniao	爱屋及鸟	愛屋及鳥
aiwujiwu	爱屋及乌	愛屋及烏
aixi	爱惜	愛惜
aixian	爱现	愛現
aixiao	矮小	矮小
aixiaojinghan	矮小精悍	矮小精悍
aixibao	癌细胞	癌細胞
aixin	爱心	愛心
aixing	矮星	矮星
aixingxing	矮行星	矮行星
aixinjueluo	爱新觉罗	愛新覺羅
aixinsan	爱心伞	愛心傘
aixiyumao	爱惜羽毛	愛惜羽毛
aixu	埃叙	埃敘
aiya	哎呀	哎呀
aiyan	哀艳|挨延|碍眼	哀艷|哀豔|挨延|礙眼
aiyangmei	矮杨梅	矮楊梅
aiye	艾叶	艾葉
aiyetan	艾叶炭	艾葉炭
aiyeyou	艾叶油	艾葉油
aiyi	爱意	愛意
aiyinhuowen	埃因霍温	埃因霍溫
aiyinsitan	爱因斯坦	愛因斯坦
aiyo	哎哟|哎唷	哎唷|哎喲
aiyou	哎呦|矮油|艾鼬	哎呦|矮油|艾鼬
aiyouteng	爱优腾	愛優騰
aiyu	爱玉|碍于	愛玉|礙於
aiyuan	哀怨	哀怨
aiyubing	爱玉冰	愛玉冰
aiyudong	爱玉冻	愛玉凍
aiyue	哀乐|爱乐	哀樂|愛樂
aiyueyuetuan	爱乐乐团	愛樂樂團
aiyuzi	爱玉子	愛玉子
aizai	挨宰	挨宰
aizeng	爱憎	愛憎
aizengfenming	爱憎分明	愛憎分明
aizhe	挨着	挨著
aizheng	挨整|癌症	挨整|癌症
aizhi	爱知	愛知
aizhiruming	爱之如命	愛之如命
aizhixian	爱知县	愛知縣
aizhu	艾炷	艾炷
aizhuangsu	矮壮素	矮壯素
aizhujiu	艾炷灸	艾炷灸
aizi	哀子|爱子|爱滋|矮子|艾滋	哀子|愛子|愛滋|矮子|艾滋
aizibing	爱滋病|艾滋病	愛滋病|艾滋病
aizibingbingdu	艾滋病病毒	艾滋病病毒
aizibingdu	爱滋病毒|艾滋病毒	愛滋病毒|艾滋病毒
aizilibajiangjun	矮子里拔将军	矮子裡拔將軍
aizou	挨揍	挨揍
ajiadier	阿加迪尔	阿加迪爾
ajiashakelisidi	阿加莎·克里斯蒂	阿加莎·克里斯蒂
ajiawei	阿加维	阿加維
ajimide	阿基米德	阿基米德
ajinkuer	阿金库尔	阿金庫爾
aka	A咖|阿卡	A咖|阿卡
akabeila	阿卡贝拉	阿卡貝拉
akadi	阿卡提	阿卡提
akadiya	阿卡迪亚	阿卡迪亞
akadiyadaxue	阿卡迪亚大学	阿卡迪亞大學
akaliusi	阿喀琉斯	阿喀琉斯
akapuerke	阿卡普尔科	阿卡普爾科
akela	阿克拉	阿克拉
akelun	阿克伦	阿克倫
akelunhe	阿克伦河	阿克倫河
akense	阿肯色	阿肯色
akensedaxue	阿肯色大学	阿肯色大學
akesai	阿克塞	阿克塞
akesaihasakezuzizhixian	阿克塞哈萨克族自治县	阿克塞哈薩克族自治縣
akesaiqin	阿克赛钦	阿克賽欽
akesaixian	阿克塞县	阿克塞縣
akesu	阿克苏	阿克蘇
akesudiqu	阿克苏地区	阿克蘇地區
akesuhe	阿克苏河	阿克蘇河
akesushi	阿克苏市	阿克蘇市
aketao	阿克陶	阿克陶
aketaoxian	阿克陶县	阿克陶縣
akongjiagua	阿空加瓜	阿空加瓜
akongjiaguashan	阿空加瓜山	阿空加瓜山
akuina	阿奎纳	阿奎納
ala	阿拉	阿拉
alabama	阿拉巴马	阿拉巴馬
alabo	阿拉伯	阿拉伯
alabobandao	阿拉伯半岛	阿拉伯半島
alabogongtongshichang	阿拉伯共同市场	阿拉伯共同市場
alaboguojialianmeng	阿拉伯国家联盟	阿拉伯國家聯盟
alabohai	阿拉伯海	阿拉伯海
alabohuixiang	阿拉伯茴香	阿拉伯茴香
alabojiao	阿拉伯胶	阿拉伯膠
alabolianhedagongguo	阿拉伯联合大公国	阿拉伯聯合大公國
alabolianheqiuzhangguo	阿拉伯联合酋长国	阿拉伯聯合酋長國
alaboren	阿拉伯人	阿拉伯人
alaboshuzi	阿拉伯数字	阿拉伯數字
alabotang	阿拉伯糖	阿拉伯糖
alabowen	阿拉伯文	阿拉伯文
alaboyu	阿拉伯语	阿拉伯語
alading	阿拉丁	阿拉丁
alaer	阿拉尔	阿拉爾
alaershi	阿拉尔市	阿拉爾市
alafate	阿拉法特	阿拉法特
alafulahai	阿拉弗拉海	阿拉弗拉海
alaganshanmai	阿拉干山脉	阿拉干山脈
alai	阿来	阿來
alaiman	阿莱曼	阿萊曼
alaiqibingchuan	阿莱奇冰川	阿萊奇冰川
alamiyu	阿拉米语	阿拉米語
alamo	阿拉摩	阿拉摩
alamutu	阿拉木图	阿拉木圖
alan	阿兰	阿蘭
alanre	阿兰若	阿蘭若
alanwen	阿兰文	阿蘭文
alashan	阿拉善	阿拉善
alashanmeng	阿拉善盟	阿拉善盟
alashanyouqi	阿拉善右旗	阿拉善右旗
alashanzuoqi	阿拉善左旗	阿拉善左旗
alasi	阿拉斯	阿拉斯
alasijia	阿拉斯加	阿拉斯加
alasijiadaxue	阿拉斯加大学	阿拉斯加大學
alasijiaxueqiaoquan	阿拉斯加雪橇犬	阿拉斯加雪橇犬
alatasi	阿拉塔斯	阿拉塔斯
alawa	阿拉瓦	阿拉瓦
aletai	阿勒泰	阿勒泰
aletaidiqu	阿勒泰地区	阿勒泰地區
aletaishi	阿勒泰市	阿勒泰市
ali	阿里	阿里
alian	阿莲	阿蓮
alianqiu	阿联酋	阿聯酋
alianqiuhangkong	阿联酋航空	阿聯酋航空
alianqiuzhangguo	阿联酋长国	阿聯酋長國
alianqu	阿莲区	阿蓮區
alibaba	阿里巴巴	阿里巴巴
alidiqu	阿里地区	阿里地區
aliefu	阿列夫	阿列夫
aliekexisi	阿列克西斯	阿列克西斯
alikante	阿利坎特	阿利坎特
alilang	阿里郎	阿里郎
alingdunguojiagongmu	阿灵顿国家公墓	阿靈頓國家公墓
alishan	阿里山	阿里山
alishanxiang	阿里山乡	阿里山鄉
alisituofen	阿里斯托芬	阿里斯托芬
aliteng	阿利藤	阿利藤
aliushenqundao	阿留申群岛	阿留申群島
aliyana	阿丽亚娜	阿麗亞娜
aluba	阿鲁巴	阿魯巴
alukeerqin	阿鲁科尔沁	阿魯科爾沁
alukeerqinqi	阿鲁科尔沁旗	阿魯科爾沁旗
alun	阿伦	阿倫
alunaqiaerbang	阿鲁纳恰尔邦	阿魯納恰爾邦
alundaer	阿伦达尔	阿倫達爾
aluofei	阿洛菲	阿洛菲
aluohan	阿罗汉	阿羅漢
aluoyue	阿罗约	阿羅約
ama	阿妈|阿嬷	阿媽|阿嬤
aman	阿曼	阿曼
amangna	阿芒拿	阿芒拿
amani	阿玛尼	阿瑪尼
amanwan	阿曼湾	阿曼灣
amaoagou	阿猫阿狗	阿貓阿狗
amaxun	阿马逊	阿馬遜
amei	阿妹	阿妹
ameiensi	阿美恩斯	阿美恩斯
ameiniya	阿美尼亚	阿美尼亞
ameizu	阿美族	阿美族
amen	阿们|阿门	阿們|阿門
ameng	阿盟|阿蒙	阿盟|阿蒙
amiao	阿秒	阿秒
amiba	阿米巴	阿米巴
amibabing	阿米巴病	阿米巴病
amibaliji	阿米巴痢疾	阿米巴痢疾
amibayuanchong	阿米巴原虫	阿米巴原蟲
aminadabu	阿米纳达布	阿米納達布
aming	阿明	阿明
amoniya	阿摩尼亚	阿摩尼亞
amoniyashui	阿摩尼亚水	阿摩尼亞水
amosishu	阿摩司书	阿摩司書
amoxilin	阿莫西林	阿莫西林
amuerhe	阿穆尔河	阿穆爾河
amuerzhou	阿穆尔州	阿穆爾州
amuhala	阿姆哈拉	阿姆哈拉
amuhe	阿姆河	阿姆河
amulin	阿木林	阿木林
amusitedan	阿姆斯特丹	阿姆斯特丹
amusitelang	阿姆斯特朗	阿姆斯特朗
an	俺|唵|啽|垵|埯|媕|安|岸|庵|按|揞|暗|案|桉|氨|犴|盦|胺|萻|谙|豻|铵|鞌|鞍|鶕|鹌|黯|𩽾	㟁|俺|唵|啽|垵|埯|媕|安|岸|庵|按|揞|晻|暗|案|桉|氨|犴|盦|胺|菴|萻|諳|豻|銨|闇|鞌|鞍|鮟|鵪|鶕|黯
anading	氨吖啶	氨吖啶
anai	阿奶	阿奶
anan	安安|暗暗|阿囡	安安|暗暗|阿囡
anban	案板	案板
anbang	安邦	安邦
anbangdingguo	安邦定国	安邦定國
anbao	安保|暗堡	安保|暗堡
anbei	安倍	安倍
anbeijinsan	安倍晋三	安倍晉三
anbeiyuyan	暗背雨燕	暗背雨燕
anbian	岸边	岸邊
anbianqingmeisu	氨苄青霉素	氨苄青黴素
anbiao	岸标	岸標
anbingbudong	按兵不动	按兵不動
anbingshujia	案兵束甲	案兵束甲
